FOLIO,NOMBRE COMERCIAL,Directorio,REPRESENTANTE LEGAL,DOMICILIO,MUNICIPIO,NOMBRE(S),ENTREGA,VIGENCIA,Acerca,QUEJAS Y DENUNCIAS,FOTO
SDE/COL/REAI/001,HECHOS INMOBILIARIOS S.A. DE C.V.,,PATRICIA CÁRDENAS ÁLVAREZ,"BLVD. MIGUEL DE LA MADRID No. 14485, SANTIAGO, MANZANILLO, COLIMA",MANZANILLO,SDE/COL/REAI/001-001 - PATRICIA CÁRDENAS ÁLVAREZ,8/3/2024,8/3/2027,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,http://admiweb.col.gob.mx/archivos_prensa/banco_img/file_64a5aa8429d9f_re_max.jpg
SDE/COL/REAI/002,MIRAMAR BIENES RAICES,,DANIEL F. MARRINSON,"AV. CARRIZALEZ No. 1, CLUB SANTIAGO, MIRAMAR, MANZANILLO, COLIMA",MANZANILLO,"SDE/COL/REAI/002-002 - DANIEL F. MARRINSON, SDE/COL/REAI/002-003 - JOANNE CHRISTINE BIGGS, SDE/COL/REAI/002-004 - LUIS J. ÁLVAREZ SANDOVAL,SDE/COL/REAI/002-005 - JAMIE LORILEE MIRHEAD,SDE/COL/REAI/002-006 - LEONARDO SÁNCHEZ URCELAY",8/3/2024,8/3/2027,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,https://admiweb.col.gob.mx/archivos_prensa/banco_img/file_64a845aa3adea_IMG_20230706_WA0026.jpg
"SDE/COL/REAI/003",HAPPY COAST REAL ESTATE,,ALEJANDRO MANUEL MIRANDA TORRES,"LAZARO CÁRDENAS 1709, BRISAS 1ra. SECCIÓN, COL. PLAYA AZUL, MANZANILLO, COLIMA. ",MANZANILLO,"SDE/COL/REAI/003-007 - JESSICA E. PADILLA HERNÁNDEZ,  SDE/COL/REAI/003-008 - JANET MARGARET PARIS,SDE/COL/REAI/003-009 - MIGUEL LÓPEZ CARRILLO,SDE/COL/REAI/003-0010 - MONICA E. BEJAR FARIAS,SDE/COL/REAI/003-0011 - ALEJANDRO M. MIRANDA TORRES",8/3/2024,8/3/2027,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,https://admiweb.col.gob.mx/archivos_prensa/banco_img/file_666b3f370b147_003_HAPPY_COAST_REAL_ESTATE.jpeg
SDE/COL/REAI/004,HABITAT SERVICIOS INMOBILIARIOS,,ALBERTO SALVADOR BARREDA CÓRDOVA,"AV. FELIPE SEVILLA DEL RIO 201, L-11, COL. JARDINES VISTA HERMOSA, COLIMA",COLIMA,"SDE/COL/REAI/004-012 - ALBERTO SALVADOR BARREDA CÓRDOVA,SDE/COL/REAI/004-013 - JUAN ARMANDO SEGOVIA HERRERA",8/3/2024,8/3/2027,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,https://admiweb.col.gob.mx/archivos_prensa/banco_img/file_666b3f33bf0c4_004_HABITAT_SERVICIOS_INMOBILIARIOS.jpg
SDE/COL/REAI/005,LAMARQ ARQUITECTURA,,CESAR ALEJANDRO LAMARQUE SOLORZANO,"AV. EMILIO BRUN AILLAUD 176-C, RESIDENCIAL ESMERALDA ",SIN MUNICIPIO,"CESAR ARMANDO LAMARQUE SOLORZANO,                                FRANCISCO JAVIER LAMARQUE SOLORZANO,                                       OSCAR GREGORIO M. CARRILLO CORRALES",8/3/2024,8/3/2027,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,https://admiweb.col.gob.mx/archivos_prensa/banco_img/file_666b3f3118920_005_LAMARQ_ARQUITECTURA.jpg
SDE/COL/REAI/006,CIMENTA CONSTRUCTORA E INMOBILIARIA,,LUIS GUILLERMO CARREÓN FERNÁNDEZ,"AV. DE LOS DIAMANTES 165-H, RESIDENCIAL ESMERALDA, COLIMA",COLIMA,SDE/COL/REAI/006-017- LUIS GUILLERMO CARREÓN FERNÁNDEZ,8/3/2024,8/3/2027,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,https://admiweb.col.gob.mx/archivos_prensa/banco_img/file_666b3f2e5a7c9_006_CIMENTA_CONSTRUCTORA_E_INMOBILIARIA.jpg
SDE/COL/REAI/007,VERDUZCO VENDE,,ENRIQUE VERDUZCO VIZCAÍNO,"AV. LA PAZ 72, RESIDENCIAL SANTA BARBARA, COLIMA",COLIMA,"SDE/COL/REAI/007-018 - ENRIQUE VERDUZCO VIZCAÍNO SDE/COL/REAL/007-126 - MYREYA MENDOZA SANDOVAL",8/3/2024,8/3/2027,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,https://admiweb.col.gob.mx/archivos_prensa/banco_img/file_666b3db13ffb0_007_VERDUZCO_VENDE.png
SDE/COL/REAI/008,INVERMAX BIENES RAICES,,JORGE EDMUNDO JAUREGUI UGALDE,"AV. VENUSTIANO CARRANZA 1047, COL. LAS PALMAS, COLIMA",COLIMA,SDE/COL/REAI/008-019 - JORGE EDMUNDO JAUREGUI UGALDE,8/3/2024,8/3/2027,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,https://admiweb.col.gob.mx/archivos_prensa/banco_img/file_666b4057083d9_008_INVERMAX_BIENES_RAICES.png
SDE/COL/REAI/009,LAS PAROTAS BIENES RAICES INMOBILIARIA ,,BEATRIZ CERVANTES AHUMADA,"PROL. VENUSTIANO CARRANZA 2010, RESIDENCIAL LAS PAROTAS",COLIMA,SDE/COL/REAI/009-020 - BEATRIZ CERVANTES  AHUMADA,8/3/2024,8/3/2027,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,https://admiweb.col.gob.mx/archivos_prensa/banco_img/file_666b3f2badeb9_009_LAS_PAROTAS_BIENES_RAICES_INMOBILIARIA.png
SDE/COL/REAI/010,FEYTE INMOBILIARIA,,CESAR CUAUHTÉMOC SÁCHEZ VERDÍN,"AV. DE LOS DIAMANRES 144, RESIDENCIAL ESMERALDA NORTE",COLIMA,"SDE/COL/REAI/010-021 - CESAR CUAUHTÉMOC SÁNCHEZ VERDÍN,SDE/COL/REAI/010-022 - MARIE STEPHANIE FEYTE OCHOA,SDE/COL/REAI/010-023 - DANIA HASHEPSOUT FEYTE OCHOA",8/3/2024,8/3/2027,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,https://admiweb.col.gob.mx/archivos_prensa/banco_img/file_666b3f28e835b_010_FEYTE_INMOBILIARIA.jpg
